LEAID,#schools,#students,district,state,Tier
4835740,4,1036.0,PRAIRILAND ISD,TX,Tier 1
4835760,2,702.0,PREMONT ISD,TX,Tier 1
4835800,3,1058.0,PRESIDIO ISD,TX,Tier 1
4835820,1,116.0,PRIDDY ISD,TX,Tier 1
4835850,13,5818.0,PRINCETON ISD,TX,Tier 3
4835890,1,113.0,PRINGLE-MORSE CISD,TX,Tier 1
4835910,6,1533.0,PROGRESO ISD,TX,Tier 1
4836000,24,19138.0,PROSPER ISD,TX,Tier 4
4836180,3,528.0,QUANAH ISD,TX,Tier 1
4836210,3,959.0,QUEEN CITY ISD,TX,Tier 1
4836240,4,2592.0,QUINLAN ISD,TX,Tier 2
4836300,3,1130.0,QUITMAN ISD,TX,Tier 1
4836360,4,1709.0,RAINS ISD,TX,Tier 1
4836390,4,462.0,RALLS ISD,TX,Tier 1
4836420,1,44.0,RAMIREZ CSD,TX,Tier 1
4836450,3,1441.0,RANDOLPH FIELD ISD,TX,Tier 1
4836480,3,351.0,RANGER ISD,TX,Tier 1
4836510,1,289.0,RANKIN ISD,TX,Tier 1
4836540,6,2080.0,RAYMONDVILLE ISD,TX,Tier 2
4836570,3,837.0,REAGAN COUNTY ISD,TX,Tier 1
4836630,2,518.0,RED LICK ISD,TX,Tier 1
4836660,7,6001.0,RED OAK ISD,TX,Tier 3
4836750,4,1107.0,REDWATER ISD,TX,Tier 1
4836780,3,682.0,REFUGIO ISD,TX,Tier 1
4836930,2,654.0,RICARDO ISD,TX,Tier 1
4836960,3,969.0,RICE ISD,TX,Tier 1
4836970,7,1289.0,RICE CISD,TX,Tier 1
4836990,2,182.0,RICHARDS ISD,TX,Tier 1
4837020,56,37787.0,RICHARDSON ISD,TX,Tier 4
4837080,1,112.0,RICHLAND SPRINGS ISD,TX,Tier 1
4837110,4,648.0,RIESEL ISD,TX,Tier 1
4837140,15,9997.0,RIO GRANDE CITY CISD,TX,Tier 3
4837150,8,4194.0,SOUTH TEXAS ISD,TX,Tier 3
4837170,5,1731.0,RIO HONDO ISD,TX,Tier 1
4837200,4,770.0,RIO VISTA ISD,TX,Tier 1
4837230,2,186.0,RISING STAR ISD,TX,Tier 1
4837260,4,1272.0,RIVER ROAD ISD,TX,Tier 1
4837320,2,435.0,RIVIERA ISD,TX,Tier 1
4837380,6,258.0,ROBERT LEE ISD,TX,Tier 1
4837410,6,2402.0,ROBINSON ISD,TX,Tier 2
4837440,8,2601.0,ROBSTOWN ISD,TX,Tier 2
4837470,1,314.0,ROBY CISD,TX,Tier 1
4837500,1,195.0,ROCHELLE ISD,TX,Tier 1
4837590,4,1453.0,ROCKDALE ISD,TX,Tier 1
4837650,22,16987.0,ROCKWALL ISD,TX,Tier 4
4837710,5,892.0,ROGERS ISD,TX,Tier 1
4837740,10,6060.0,ROMA ISD,TX,Tier 3
4837800,4,1014.0,ROOSEVELT ISD,TX,Tier 1
4837830,1,475.0,ROPES ISD,TX,Tier 1
4837860,3,681.0,ROSCOE COLLEGIATE ISD,TX,Tier 1
4837900,3,689.0,ROSEBUD-LOTT ISD,TX,Tier 1
4838040,1,239.0,ROTAN ISD,TX,Tier 1
4838080,65,48302.0,ROUND ROCK ISD,TX,Tier 4
4838100,2,236.0,ROUND TOP-CARMINE ISD,TX,Tier 1
4838190,5,2476.0,ROYAL ISD,TX,Tier 2
4838220,9,6886.0,ROYSE CITY ISD,TX,Tier 3
4838280,1,141.0,RULE ISD,TX,Tier 1
4838310,4,229.0,RUNGE ISD,TX,Tier 1
4838360,5,1969.0,RUSK ISD,TX,Tier 1
4838400,3,985.0,S AND S CISD,TX,Tier 1
4838430,4,426.0,SABINAL ISD,TX,Tier 1
4838460,3,1521.0,SABINE ISD,TX,Tier 1
4838490,2,388.0,SABINE PASS ISD,TX,Tier 1
4838520,2,319.0,SAINT JO ISD,TX,Tier 1
4838580,6,2105.0,SALADO ISD,TX,Tier 2
4838610,1,255.0,SALTILLO ISD,TX,Tier 1
4838640,2,522.0,SAM RAYBURN ISD,TX,Tier 1
4838700,23,14100.0,SAN ANGELO ISD,TX,Tier 4
4838730,100,45802.0,SAN ANTONIO ISD,TX,Tier 4
4838760,2,687.0,SAN AUGUSTINE ISD,TX,Tier 1
4838790,22,9728.0,SAN BENITO CISD,TX,Tier 3
4838820,3,1488.0,SAN DIEGO ISD,TX,Tier 1
4838850,7,3191.0,SAN ELIZARIO ISD,TX,Tier 2
4838900,17,9874.0,SAN FELIPE-DEL RIO CISD,TX,Tier 3
4838910,2,197.0,SAN ISIDRO ISD,TX,Tier 1
4838970,11,8013.0,SAN MARCOS CISD,TX,Tier 3
4839000,3,232.0,SAN PERLITA ISD,TX,Tier 1
4839030,3,722.0,SAN SABA ISD,TX,Tier 1
4839060,1,5.0,SAN VICENTE ISD,TX,Tier 1
4839120,1,263.0,SANDS CISD,TX,Tier 1
4839150,3,685.0,SANFORD-FRITCH ISD,TX,Tier 1
4839180,8,2569.0,SANGER ISD,TX,Tier 2
4839210,2,265.0,SANTA ANNA ISD,TX,Tier 1
4839270,7,4343.0,SANTA FE ISD,TX,Tier 3
4839300,2,779.0,SANTA GERTRUDIS ISD,TX,Tier 1
4839330,6,604.0,SANTA MARIA ISD,TX,Tier 1
4839360,5,935.0,SANTA ROSA ISD,TX,Tier 1
4839390,2,453.0,SANTO ISD,TX,Tier 1
4839450,2,303.0,SAVOY ISD,TX,Tier 1
4839480,17,15673.0,SCHERTZ-CIBOLO-U CITY ISD,TX,Tier 4
4839510,3,521.0,SCHLEICHER ISD,TX,Tier 1
4839540,2,696.0,SCHULENBURG ISD,TX,Tier 1
4839570,3,1073.0,SCURRY-ROSSER ISD,TX,Tier 1
4839600,1,510.0,SEAGRAVES ISD,TX,Tier 1
4839630,4,2814.0,SEALY ISD,TX,Tier 2
4839690,14,6899.0,SEGUIN ISD,TX,Tier 3
4839750,6,2928.0,SEMINOLE ISD,TX,Tier 2
4839780,3,621.0,SEYMOUR ISD,TX,Tier 1
4839870,6,1682.0,SHALLOWATER ISD,TX,Tier 1
4839900,3,407.0,SHAMROCK ISD,TX,Tier 1
4839930,14,9765.0,SHARYLAND ISD,TX,Tier 3
4839960,1,770.0,SHELBYVILLE ISD,TX,Tier 1
4839990,14,10206.0,SHELDON ISD,TX,Tier 4
4840020,4,1930.0,SHEPHERD ISD,TX,Tier 1
4840080,17,7503.0,SHERMAN ISD,TX,Tier 3
4840110,3,702.0,SHINER ISD,TX,Tier 1
4840170,1,142.0,SIDNEY ISD,TX,Tier 1
4840200,1,129.0,SIERRA BLANCA ISD,TX,Tier 1
4840230,5,2743.0,SILSBEE ISD,TX,Tier 2
4840290,1,188.0,SILVERTON ISD,TX,Tier 1
4840320,3,483.0,SIMMS ISD,TX,Tier 1
4840350,5,2074.0,SINTON ISD,TX,Tier 2
4840380,1,49.0,SIVELLS BEND ISD,TX,Tier 1
4840410,3,806.0,SKIDMORE-TYNAN ISD,TX,Tier 1
4840440,6,1326.0,SLATON ISD,TX,Tier 1
4840470,1,344.0,SLIDELL ISD,TX,Tier 1
4840500,2,366.0,SLOCUM ISD,TX,Tier 1
4840550,5,1753.0,SMITHVILLE ISD,TX,Tier 1
4840590,1,412.0,SMYER ISD,TX,Tier 1
4840620,2,489.0,SNOOK ISD,TX,Tier 1
4840650,4,2610.0,SNYDER ISD,TX,Tier 2
4840680,18,8267.0,SOUTH SAN ANTONIO ISD,TX,Tier 3
4840710,53,47061.0,SOCORRO ISD,TX,Tier 4
4840740,8,4021.0,SOMERSET ISD,TX,Tier 3
4840770,3,518.0,SOMERVILLE ISD,TX,Tier 1
4840800,2,699.0,SONORA ISD,TX,Tier 1
4840890,1,117.0,SOUTHLAND ISD,TX,Tier 1
4840920,11,5595.0,SOUTHSIDE ISD,TX,Tier 3
4840950,19,13474.0,SOUTHWEST ISD,TX,Tier 4
4841010,3,812.0,SPEARMAN ISD,TX,Tier 1
4841070,7,4170.0,SPLENDORA ISD,TX,Tier 3
4841100,51,33288.0,SPRING BRANCH ISD,TX,Tier 4
4841130,1,106.0,SPRING CREEK ISD,TX,Tier 1
4841190,5,2006.0,SPRING HILL ISD,TX,Tier 2
4841220,44,33567.0,SPRING ISD,TX,Tier 4
4841250,3,306.0,SPRINGLAKE-EARTH ISD,TX,Tier 1
4841280,6,3619.0,SPRINGTOWN ISD,TX,Tier 2
4841340,2,358.0,SPURGER ISD,TX,Tier 1
4841350,7,3316.0,STAFFORD MSD,TX,Tier 2
4841400,3,595.0,STAMFORD ISD,TX,Tier 1
4841430,3,1054.0,STANTON ISD,TX,Tier 1
4841520,6,3659.0,STEPHENVILLE ISD,TX,Tier 2
4841550,6,338.0,STERLING CITY ISD,TX,Tier 1
4841580,3,673.0,PLEMONS-STINNETT-PHILLIPS CISD,TX,Tier 1
4841610,5,780.0,STOCKDALE ISD,TX,Tier 1
